Recipient,Token Allocated
5614,18739.04
2275,15798.28
4029,15622.29
4172,34472.05
3253,15491.72
1213,15332.75
6624,31448.96
4952,34040.58
1609,16226.91
7943,13232.2
1264,15882.02
5369,15491.72
3528,15769.9
1359,34821.19
3530,34622.49
3520,17149.45
2248,17177.83
5511,17170.73
6220,15389.53
3393,14935.35
3392,15864.98
3476,15795.44
2091,17035.9
3280,16087.82
2700,15524.35
4039,18655.31
2071,16503.66
989,16313.48
6496,31028.85
3627,31139.56
3235,30855.7
4465,33049.92
1784,16848.55
4592,16848.55
6461,15346.95
2039,15934.53
5057,16730.75
8120,29530.09
4729,17268.67
4865,17365.18
3267,17677.42
4356,16347.55
6664,31261.62
4135,31667.53
4409,32411.24
6656,32402.73
4062,30764.87
4092,32550.33
4789,31236.07
5684,32590.07
2812,33078.31
2708,16191.43
5922,15319.98
1292,16852.81
4535,15679.06
3978,16797.46
6338,15200.76
6729,16838.62
4875,16774.75
8121,16603.02
2592,33399.07
1154,16458.25
1554,17399.24
6063,17150.86
2761,17771.09
2762,17771.09
3741,17792.38
3760,17792.38
1212,17771.09
5876,17678.83
1003,17678.83
896,16773.33
6723,15776.99
5707,16181.49
4148,15385.26
3370,15921.76
5081,17004.68
1505,16299.29
1223,16889.71
2262,14850.19
4298,16935.13
3485,17815.09
5155,16811.65
908,17023.12
4527,17646.19
3247,18128.75
894,15319.98
5531,16735.01
1490,16681.08
4701,33129.4
2380,35309.43
4289,32788.77
2884,35124.92
1238,34940.41
3860,34775.78
4454,35834.57
1914,32871.09
4406,15354.04
7709,13665.09
3896,16001.24
5287,18739.04
2524,18389.9
2249,16770.49
4893,16336.19
1037,16400.06
2230,34423.79
4652,36708.85
5954,32808.64
1489,17163.63
6439,17609.29
4917,33782.27
2181,15886.27
3385,15275.98
3883,18123.08
1708,18516.22
4852,32743.35
1427,15632.22
890,16681.08
4824,15354.04
4157,16898.23
1054,16735.01
2086,28499.68
6493,29359.77
3464,31096.98
4225,32601.43
3540,32255.12
3144,35510.97
2190,16117.62
3624,18448.09
5523,18252.23
2052,18252.23
1887,18124.5
3479,18282.04
1321,18209.65
1057,16295.03
3662,33526.8
5197,16154.52
6977,15071.6
1008,15874.92
1534,17944.25
3272,17690.19
3106,18012.37
3430,17619.23
6668,18140.11
6686,17637.68
1964,17964.12
3081,32888.12
5119,30906.8
2003,15318.56
6333,16700.95
1859,16815.91
3176,17482.97
5698,16419.93
1806,16428.45
1252,18318.94
2556,16312.06
5591,16358.9
3072,16221.23
2462,17380.79
2633,16279.42
5300,16654.11
4033,16251.03
4807,31815.14
1366,17837.8
4582,18716.34
6360,18714.92
5127,17561.04
5587,15412.23
1002,18739.04
5843,31006.15
2776,32439.63
4296,15389.53
3214,15410.81
2095,31389.35
2548,33234.43
911,15581.13
3825,15833.76
2791,15361.14
1763,18022.3
6794,17599.36
4474,16459.67
8755,14942.45
4265,15545.64
4601,31253.1
4841,18059.2
4828,18602.8
2252,16527.8
5979,15417.91
1946,18739.04
1529,14793.42
3012,31613.6
1217,16962.09
